ID,STK11IP,ZBTB34,TBC1D10B,OAZ1,POLR2A,G6PD,ABCF1,C14orf102,UBB,TBP,SDHA,CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA.DQA1,HLA.DRB1,HLA.E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT
37,65,37,37,255,220,37,55,18,824,49,81,4,6,49,187,7,26,9,4,86,382,526,8,1,9,7,53,89,1
38,38,23,44,445,182,50,61,17,848,64,63,189,61,24,159,59,74,907,22,1195,1763,1252,62,38,208,35,75,361,40
40,131,109,162,1392,1228,605,254,112,2796,150,787,53,16,38,728,23,109,51,13,320,1952,1068,13,25,25,13,93,429,7
41,398,108,148,2165,844,390,374,102,2957,328,1725,87,28,58,497,22,193,187,10,693,1165,1722,26,37,62,24,128,613,28
42,131,114,255,2994,1146,414,389,79,3720,247,904,574,149,96,1190,210,296,1369,150,11,1630,3681,451,160,325,84,344,2358,158
43,87,44,148,1131,467,441,191,50,4546,74,2199,97,33,32,463,57,107,86,20,417,630,645,68,30,48,5,95,191,26
44,10,13,30,327,97,46,38,11,422,31,38,16,18,25,42,5,12,58,8,1,98,364,73,11,8,13,24,88,5
45,125,71,85,734,555,171,194,56,1393,101,1280,200,79,36,585,99,191,333,29,643,3037,1176,100,42,172,12,135,294,38
46,57,55,73,798,333,88,53,22,937,74,86,116,39,45,431,44,136,279,23,575,923,1382,222,26,136,33,145,331,25
47,98,87,156,2619,768,259,394,89,4900,244,977,1026,296,85,485,223,580,4618,178,5851,7413,2170,350,235,675,113,325,2179,124
48,45,63,106,1562,401,848,130,51,4002,186,358,129,19,320,541,32,105,692,32,4,345,3354,815,33,103,71,238,998,28
49,139,121,164,1866,817,207,266,112,2843,229,1608,569,76,54,709,126,367,318,121,5,5899,2020,193,82,145,49,317,671,65
50,106,55,132,1375,390,410,202,58,4239,148,629,213,33,27,423,55,129,1123,21,6,608,596,914,74,85,15,200,943,30
51,180,61,280,2772,920,315,598,128,9869,253,1077,37,8,35,2317,14,122,42,17,3,118,663,35,33,25,15,119,1126,10
52,110,170,436,3178,911,326,732,160,1831,265,986,130,11,35,1574,25,1685,94,23,5,608,1166,26,121,178,134,139,921,19
53,21,62,62,1664,282,55,121,19,1747,97,172,43,12,18,363,12,40,646,11,4,232,860,48,15,15,28,40,643,13
54,81,59,185,896,754,167,188,44,2457,108,156,51,59,34,415,28,51,246,16,607,962,1478,344,28,58,17,203,500,45
55,43,21,102,600,382,689,113,28,1451,50,460,127,93,33,249,70,83,335,14,723,2346,844,90,43,55,16,90,236,36
56,140,134,180,2072,796,203,250,84,4968,229,188,176,69,36,1339,61,282,126,29,1847,1981,3066,46,32,217,60,220,402,45
57,160,250,383,11372,2116,4825,1493,176,9801,864,7185,287,66,52,1200,66,262,2052,50,1970,2235,1070,173,164,175,44,218,1453,47
58,153,250,289,4443,1122,301,710,161,1184,388,3075,216,42,83,1441,41,259,1313,42,8,819,1654,97,188,283,55,342,1221,20
59,87,64,82,1062,405,123,144,38,2529,129,134,35,26,12,538,12,41,40,13,771,534,1475,14,11,41,22,119,197,22
60,35,21,41,428,154,35,71,14,985,37,60,33,14,16,306,11,47,67,11,327,637,769,39,10,45,12,60,121,10
61,31,17,40,226,121,55,43,17,737,43,438,130,58,23,59,96,44,295,16,3,303,509,73,25,76,8,96,170,29
62,79,71,136,1213,549,91,188,20,2111,66,632,45,8,29,605,25,43,17,16,206,1280,383,38,17,32,10,40,165,8
63,116,110,253,4393,872,839,599,98,6500,401,1007,778,48,65,972,133,430,327,46,6,3514,2157,95,218,398,56,268,3108,46
64,69,95,187,2196,793,894,229,60,3399,191,177,170,27,97,698,30,103,386,23,12,283,4928,2857,44,136,46,271,1148,44
65,39,34,50,803,301,87,101,28,2067,75,72,67,25,103,382,32,61,160,24,839,360,1739,89,30,74,50,54,215,37
66,69,83,138,1330,516,136,190,72,2750,124,650,195,50,27,584,51,265,78,37,9,2692,1538,18,74,175,21,275,586,18
68,144,104,280,4130,688,356,593,160,4026,362,1397,149,46,24,968,36,145,131,26,402,1020,1734,568,96,97,25,113,1452,14
71,390,328,290,6589,1752,2059,738,378,14435,584,2459,26,6,51,744,25,58,40,10,33,272,458,216,30,10,15,117,415,8
72,199,181,224,2026,1640,352,514,149,4339,401,1372,120,26,48,1069,69,79,81,19,568,1984,1210,63,683,158,13,94,1134,24
73,58,36,79,839,182,44,65,13,1661,78,106,43,35,13,395,22,89,201,22,5,126,1027,31,16,41,21,123,228,34
74,137,101,224,1915,1089,758,264,117,4744,184,761,90,224,35,556,52,118,49,19,561,2321,1530,49,53,42,9,191,1733,8
75,161,107,286,3708,1003,479,413,129,6759,262,1184,312,86,90,945,109,212,551,86,4901,16706,2737,123,66,191,109,369,1840,78
77,136,107,191,3064,956,245,518,58,3938,346,612,764,85,81,834,124,317,4829,119,3335,4544,2095,612,259,396,67,235,1978,70
78,211,108,203,2265,1124,469,437,130,4222,247,1953,618,86,48,1149,116,198,326,56,2483,3094,1519,171,95,207,35,259,815,42
79,86,138,231,2499,1411,363,555,129,5870,317,2274,343,133,42,451,93,149,218,86,782,1338,1528,199,72,188,26,270,1160,37
80,95,85,245,4577,665,405,386,137,11584,369,1146,59,26,56,630,24,150,100,13,6,625,1053,33,22,39,33,132,571,22
81,131,108,213,1339,1380,235,483,121,1141,276,1436,139,19,24,725,26,104,130,18,700,2334,1208,434,85,100,34,179,1094,17
82,65,49,107,1156,452,385,154,56,2557,78,541,206,94,31,442,71,137,446,46,1023,3123,1002,128,48,98,11,120,428,37
83,154,130,298,3094,1436,301,551,115,6152,327,1387,321,88,82,1132,138,249,434,58,1643,2319,1578,227,78,162,31,223,666,36
84,134,191,419,5008,2070,996,439,82,8147,254,2542,279,48,28,547,89,265,511,26,1984,2304,2222,90,64,142,35,222,868,46
85,83,50,158,2952,735,528,420,58,2612,163,440,120,28,32,428,55,84,427,20,425,700,414,112,65,100,14,77,689,11
86,74,54,70,856,268,99,120,28,2342,99,121,105,68,14,557,22,65,90,30,6,282,1733,83,29,52,24,85,404,30
87,184,129,439,3422,1515,353,581,130,4820,238,1278,756,124,129,1439,194,289,1711,107,10,2347,2969,1654,141,330,48,553,2177,105
88,88,106,266,5579,888,758,1058,108,3294,260,2513,270,24,115,1251,47,149,149,25,2,301,2644,204,86,196,150,301,1148,34
89,97,102,216,1914,977,222,327,99,3814,230,952,440,224,55,927,144,297,1408,61,6,2053,2724,217,71,229,86,270,1235,128
90,105,109,226,2385,950,226,316,105,4516,184,1032,744,277,58,585,194,415,243,118,2123,3761,3486,88,108,375,55,365,1483,41
91,66,69,146,1878,646,197,188,57,3218,151,568,242,49,18,685,47,387,71,48,2197,4584,1433,59,46,140,54,141,321,28
92,82,109,183,2047,705,301,232,58,3351,139,720,192,40,21,1255,39,209,42,19,1183,3973,1000,15,28,92,40,121,371,18
93,80,48,121,3266,419,161,250,82,3967,165,582,1682,118,106,606,373,322,1747,200,1945,3964,1328,379,128,899,117,248,1485,89
94,45,31,62,443,284,54,71,18,1799,48,113,20,9,7,159,7,20,53,3,5,41,513,6,9,26,13,127,124,7
95,106,49,103,1100,704,114,168,62,2485,104,122,166,239,67,525,78,170,615,23,2940,3601,3293,538,39,195,48,230,658,80
96,197,156,502,8182,1229,1014,896,154,8686,583,2947,1480,335,98,438,283,552,6257,198,3425,7337,4096,614,570,1255,89,581,3893,191
97,68,93,225,1804,560,415,267,50,3147,234,1085,118,196,43,1003,42,172,52,19,13,1059,1540,24,99,80,32,161,608,47
98,70,25,86,471,317,124,123,28,1458,61,88,34,30,7,626,20,30,22,7,192,825,1127,23,6,10,3,104,240,13
99,134,89,215,2545,1722,481,1125,157,5622,531,1789,1811,179,373,817,492,493,8279,230,3265,6372,9768,6721,448,1162,85,351,8447,137
100,75,67,115,1379,633,132,154,62,2915,99,855,314,56,30,274,81,179,182,31,7,2761,1970,69,63,300,18,232,986,15
101,39,24,62,716,249,148,102,18,1222,79,86,210,8,32,462,18,39,174,8,3,200,1429,106,25,49,28,98,332,17
102,16,5,20,38,221,116,9,3,108,9,11,19,5,4,71,9,5,5,2,81,342,414,7,11,8,3,31,75,3
103,16,21,37,385,154,49,58,20,640,40,53,9,10,8,85,7,10,20,5,3,19,444,14,12,8,4,15,59,8
105,112,45,182,1283,559,900,185,46,1377,128,901,291,65,51,660,84,203,1202,58,1267,3779,1128,328,54,177,39,123,626,39
106,49,23,45,238,262,63,44,27,785,30,38,53,13,33,345,30,49,46,18,714,930,977,52,10,40,12,70,137,25
107,31,25,64,206,322,69,68,23,1281,47,95,75,15,16,361,19,35,102,5,3,637,1369,97,8,49,15,110,275,23
108,84,62,252,1622,456,172,306,52,1861,130,1081,157,18,53,665,41,225,524,20,1193,1126,1825,49,58,94,34,275,1830,20
109,74,34,98,1160,552,986,198,50,2026,110,817,224,48,37,415,96,226,270,36,1307,6958,1436,62,20,91,19,172,345,27
110,116,119,170,1510,823,320,207,94,3003,150,1539,162,46,92,674,49,165,132,35,904,3181,1295,28,38,58,20,171,590,26
111,75,51,171,2356,682,462,256,60,2326,149,1791,451,59,43,413,173,121,780,58,939,1838,1614,138,64,258,18,168,754,55
112,61,11,35,42,409,151,24,40,123,40,472,524,43,51,81,321,104,403,26,242,2876,705,157,92,441,6,153,890,37
113,151,120,200,2753,1987,1053,475,105,5618,312,1399,87,10,36,1132,27,177,80,18,8,484,1770,11,28,48,13,162,637,14
114,139,64,177,1281,844,361,206,97,2466,189,974,211,25,68,562,76,140,40,42,3104,4520,1429,37,34,75,20,121,462,30
115,26,12,15,29,159,41,19,6,148,8,16,9,9,3,70,7,8,19,7,70,295,253,7,4,19,4,37,46,11
116,33,14,45,155,553,117,41,14,751,42,53,49,30,18,282,17,34,57,2,426,704,773,28,11,21,10,46,167,20
117,62,49,101,850,484,102,134,34,2000,76,429,195,38,19,548,56,189,80,34,704,3064,890,16,47,136,24,112,487,18
118,74,126,190,2943,502,354,367,46,4713,269,961,297,70,35,1061,90,237,153,59,5,2747,1924,55,61,136,28,133,561,35
119,427,216,444,3399,3101,767,881,351,4967,728,2994,714,238,98,820,194,239,364,30,763,856,1804,215,364,709,33,292,1891,86
120,5,3,7,31,23,14,4,7,73,7,3,6,1,11,19,5,6,16,1,17,85,53,19,6,3,7,2,27,4
121,21,29,22,335,54,61,46,13,528,32,31,40,8,8,93,1,14,20,2,184,312,353,24,12,13,14,12,100,18
122,6,18,9,87,21,14,11,2,240,7,17,8,1,1,30,3,6,10,1,6,34,38,7,9,9,7,4,53,2
123,61,75,70,1870,269,174,194,78,3354,133,170,326,103,81,291,40,176,1348,73,1767,2637,2258,556,50,115,72,231,1243,114
125,36,145,36,651,294,118,147,51,1409,155,175,106,2,15,346,3,29,17,5,5,129,472,18,34,17,12,29,334,10
126,11,21,23,379,96,37,91,22,744,48,52,32,5,19,214,11,31,34,9,237,227,682,10,18,20,20,19,120,16
127,32,84,92,1113,227,210,189,51,2576,78,114,187,46,20,206,26,33,406,11,391,659,669,86,48,65,9,35,557,46
128,51,78,53,1930,450,208,261,59,4722,118,176,292,45,187,1037,48,209,2270,31,3606,7859,2255,423,123,131,247,146,1550,85
129,12,14,27,554,103,106,54,23,987,29,41,63,24,16,222,15,37,57,4,271,725,506,15,14,24,9,45,130,18
130,81,51,82,1780,547,380,241,56,3331,115,128,660,60,104,576,117,175,805,38,1478,2020,2886,507,85,284,99,157,808,110
131,16,49,32,721,206,140,66,22,1983,48,131,34,12,17,288,7,69,141,7,211,1297,715,13,28,26,40,24,851,21
132,12,18,10,184,67,97,32,12,327,18,29,15,9,9,58,5,11,21,3,2,111,184,7,5,8,5,6,46,8
133,10,13,5,180,51,60,23,11,253,23,29,11,23,3,53,8,5,10,2,2,75,186,7,13,7,14,23,47,6
134,31,36,33,852,137,360,102,21,1095,38,75,62,11,34,491,3,99,71,3,5,190,618,14,14,13,16,45,139,7
135,6,10,2,92,13,29,14,9,114,7,7,6,2,4,29,6,6,29,1,40,101,147,5,5,5,4,2,39,3
136,9,18,17,601,87,279,33,13,1006,36,65,44,19,15,107,8,9,12,6,9,99,322,7,3,28,18,19,78,5
137,29,38,26,893,139,151,93,27,1779,76,77,200,192,23,89,43,41,119,32,915,670,1170,50,35,137,25,45,320,113
138,7,6,6,107,21,13,16,9,191,5,13,7,4,4,44,2,1,4,2,10,25,76,1,5,8,6,4,44,4
139,34,21,28,504,111,111,81,25,830,56,55,112,25,11,306,32,23,184,11,471,1364,891,44,22,46,14,40,204,31
140,28,46,27,387,74,567,93,15,695,66,67,19,8,4,237,3,7,51,1,51,97,332,17,12,13,11,47,289,8
141,28,26,33,490,163,92,70,24,1040,59,63,211,45,112,205,57,50,613,19,649,2127,997,83,32,121,108,82,495,67
142,39,59,20,990,89,87,70,37,829,79,68,47,13,13,134,10,14,96,6,7,97,733,20,17,11,20,44,414,24
143,65,91,72,2199,258,832,193,87,3590,207,161,279,45,82,799,32,88,476,19,683,507,1797,182,98,91,75,109,1044,63
144,31,97,41,1853,181,946,169,48,3271,83,128,113,61,63,487,17,44,197,24,1088,1995,1200,72,35,34,43,48,762,75
145,39,109,64,1804,156,2841,304,49,2903,177,134,480,56,144,465,48,183,539,15,1947,1608,1935,534,118,158,160,139,1363,72
146,50,54,65,1451,293,335,201,49,2456,188,179,45,23,53,747,14,50,11,6,496,1527,780,37,15,25,36,65,141,39
147,28,87,46,1292,130,98,150,90,2945,154,160,155,56,37,224,38,32,105,23,7,1059,959,91,34,84,30,50,297,82
148,28,87,46,1292,130,98,150,90,2945,154,160,155,56,37,224,38,32,105,23,7,1059,959,91,34,84,30,50,297,82
149,27,28,49,1093,230,392,108,29,1175,78,115,240,35,33,164,20,79,659,14,7,194,821,112,40,100,34,63,460,37
150,11,37,31,467,117,75,112,44,796,53,79,134,4,39,81,6,7,41,11,43,90,372,44,27,12,13,13,344,8
151,17,36,21,600,165,101,87,36,959,65,47,100,17,102,325,3,27,76,10,208,414,734,96,33,16,62,32,437,18
152,17,36,29,570,117,62,70,20,981,51,70,43,3,17,190,6,30,30,7,6,232,476,10,9,12,23,30,94,11
153,44,23,44,621,198,192,92,28,1179,57,77,172,38,25,297,21,43,691,12,8,1109,1199,195,35,51,22,72,438,64
154,8,1,1,61,18,27,4394,13,57,121,543,104,135,30,40,39,285,7,48,110,71,1,37,17,238,26,19,14,180
155,198,207,153,2378,903,393,872,113,4113,295,2735,1113,341,97,1197,406,432,2989,160,18,728,3490,346,247,406,295,258,3265,236
156,29,16,34,498,234,130,69,23,365,41,207,204,102,39,127,86,32,168,28,17,309,1072,59,28,63,30,54,372,29
157,3,1,1,36,7,14,970,8,5,12,167,12,40,5,11,4,42,4,31,18,31,1,8,14,4,6,42,4,15
158,3,1,1,33,24,17,1697,2,13,23,232,27,38,10,28,8,156,6,29,34,15,1,11,11,515,6,9,11,37
159,31,49,37,491,161,56,77,21,554,37,441,37,9,51,198,15,18,97,6,43,250,643,28,13,12,77,36,341,14
160,29,53,48,1179,338,152,215,37,1462,154,647,72,35,25,171,43,30,56,19,278,366,564,64,29,34,36,27,238,25
161,33,23,30,243,178,60,40,12,589,26,202,156,34,32,102,96,47,782,24,170,876,514,312,34,59,22,43,593,30
162,44,65,67,1359,353,214,201,38,1556,127,836,233,53,18,229,95,90,367,45,1579,1240,1535,295,53,73,31,73,455,31
163,16,12,5,19,20,24,9,9,40,4,19,18,6,14,21,9,10,3,5,8,6,23,12,6,5,10,4,31,2
164,85,98,88,2537,891,302,349,60,3668,222,819,340,28,57,339,90,121,950,52,1695,2668,2642,969,89,123,99,119,2282,34
165,19,13,11,41,39,24,14,7,139,17,33,33,9,12,39,16,13,7,6,44,55,56,21,9,10,11,8,52,8
166,19,7,8,70,35,27,16,3,103,9,13,54,5,14,24,24,24,11,6,9,40,71,8,20,19,30,11,48,10
167,36,27,21,146,112,109,41,18,245,34,197,30,16,13,101,21,20,15,6,140,278,153,25,13,12,14,15,64,11
168,18,9,3,19,15,15,5,6,26,3,9,5,5,8,9,8,5,2,4,18,21,9,10,5,1,6,1,13,8
169,20,13,14,181,80,87,29,6,428,25,84,57,18,9,61,23,36,47,11,325,134,164,24,14,26,19,20,103,10
170,16,22,12,197,91,64,37,11,268,12,95,36,9,15,97,13,19,35,7,10,80,234,14,3,9,8,13,152,9
171,20,23,31,257,88,32,59,14,345,16,81,81,25,39,43,33,20,177,12,12,49,170,32,11,30,59,18,118,17
173,14,7,6,31,19,25,7,6,30,6,9,19,2,8,7,17,4,4,4,73,45,21,26,6,7,4,8,21,2
174,61,92,91,1097,485,296,243,52,1771,133,1184,132,34,43,456,69,105,276,23,793,1134,1134,180,34,76,41,115,643,21
175,21,9,6,61,34,25,18,5,97,10,26,25,4,8,16,7,13,34,7,63,134,78,18,4,2,7,5,54,5
176,16,9,7,72,31,27,13,6,99,12,23,32,9,8,34,12,9,4,4,10,33,40,22,5,2,6,2,31,5
177,73,71,62,1321,646,1251,235,76,3829,257,866,370,41,26,478,101,155,893,48,1295,1898,1523,153,159,124,84,238,3045,59
178,86,122,55,1106,590,416,296,55,2095,122,888,85,21,27,445,45,59,76,18,930,1258,1658,18,15,35,32,38,464,14
179,70,94,57,1414,555,165,257,50,1977,172,560,122,35,24,403,44,115,37,22,17,900,1005,217,16,27,48,50,398,19
180,54,39,24,309,316,101,91,26,429,66,246,132,37,59,149,66,47,427,19,11,171,1036,88,44,61,52,47,433,10
181,10,19,13,198,73,19,36,4,95,20,57,30,10,29,9,10,19,33,6,168,147,59,35,23,16,14,15,63,7
182,52,72,41,938,329,105,197,53,1156,98,612,51,12,15,248,28,113,20,12,10,394,403,15,16,20,21,34,161,4
183,238,160,128,2454,647,399,543,64,5072,435,1445,194,29,32,417,86,119,424,31,15,2304,2338,148,48,132,51,144,1254,34
184,16,17,10,76,59,37,30,9,169,24,60,22,4,4,62,19,12,7,8,8,159,73,10,5,8,12,7,91,4
185,47,44,62,650,719,207,262,44,928,23,628,202,19,15,279,42,67,65,12,19,341,1570,129,19,67,17,58,352,13
186,53,63,50,749,248,130,112,29,935,68,422,157,88,41,167,77,87,845,26,612,719,1012,128,47,47,59,59,1099,89
187,84,48,38,479,429,169,203,43,1192,53,706,369,73,33,325,134,211,671,53,9,2155,2267,211,66,329,32,114,481,44
188,37,51,15,378,507,145,129,30,810,46,448,125,80,35,311,79,44,452,36,732,1922,754,210,18,54,13,48,433,15
189,13,10,3,65,90,50,33,11,172,5,122,45,10,12,49,40,22,18,5,243,571,293,9,6,34,11,11,48,5
190,28,27,23,520,192,82,107,32,524,45,345,341,74,22,255,147,106,1176,33,27,433,726,134,101,149,38,50,651,44
191,37,35,23,550,115,37,66,23,1379,67,597,97,22,16,104,47,69,17,19,970,1244,653,20,17,34,23,53,370,17
192,61,57,46,884,487,818,186,38,786,89,545,137,23,50,163,44,32,168,14,8,113,1009,51,33,51,54,66,436,13
193,97,84,76,1164,647,305,331,71,1966,178,733,414,379,86,271,383,94,480,69,15,2579,3832,280,96,159,106,237,1382,170
194,48,22,18,156,410,119,92,20,463,26,486,195,29,38,182,103,44,496,18,9,201,890,257,107,126,14,79,1677,29
195,51,71,54,727,457,138,148,26,1090,97,434,238,70,103,126,77,71,755,22,415,617,2008,115,75,76,113,97,1419,77
196,5,1,2,103,47,13,4991,19,3,64,1062,35,148,25,12,39,263,4,126,92,29,1,13,15,2123,34,102,15,96
197,74,74,59,1483,543,355,291,52,2076,133,615,258,305,54,182,107,152,516,56,5613,4702,2706,375,59,109,97,120,784,90
198,62,88,70,1233,373,340,248,57,2602,131,501,163,41,45,1528,61,221,192,18,2298,2256,1299,129,31,48,184,66,464,20
199,42,39,31,544,250,592,98,24,1144,50,514,38,20,24,240,24,36,17,12,289,283,397,20,12,13,12,30,98,6
200,16,13,5,18,95,42,35,2,115,9,123,24,2,2,21,9,2,1,3,109,124,48,8,3,9,3,3,39,7
201,28,81,97,886,342,127,172,37,1342,106,706,103,24,31,597,60,84,637,21,515,1126,820,65,22,75,38,35,426,39
202,22,58,48,447,124,74,58,27,942,36,342,363,52,34,79,136,67,1139,37,7,351,659,443,71,141,48,42,744,47
203,43,29,29,348,310,467,121,17,778,53,660,199,159,39,255,150,73,180,35,746,478,1524,133,179,95,46,133,1723,79
204,49,32,35,394,510,186,117,28,436,51,1120,54,12,18,705,22,22,12,10,176,260,523,16,5,22,14,11,84,4
205,17,14,6,108,35,28,20,12,178,20,38,17,7,7,74,15,17,11,3,98,184,111,16,7,4,15,8,57,7
206,22,11,8,31,179,145,28,23,67,16,228,56,13,17,35,44,21,25,14,173,60,129,33,26,25,7,28,302,14
207,25,24,15,98,107,42,59,10,146,18,70,13,6,7,104,22,22,8,4,45,46,113,80,62,6,10,13,100,6
208,31,30,22,394,131,125,96,21,695,35,200,25,7,23,224,14,19,8,1,10,131,335,17,9,12,16,21,108,9
209,79,39,85,1638,688,279,234,54,1291,126,955,1273,58,226,89,454,153,2379,194,5250,7229,2379,1575,225,536,109,316,1526,80
210,34,20,23,309,106,83,31,15,344,24,143,62,16,40,105,55,40,371,7,18,202,524,103,22,49,51,11,310,22
211,19,10,10,67,21,30,13,5,82,8,34,13,3,7,14,7,5,14,5,4,24,44,7,3,8,8,6,29,5
212,34,54,52,560,204,136,112,29,694,77,291,48,13,11,82,22,14,48,12,104,362,459,151,16,15,18,24,372,15
213,35,41,54,585,257,139,123,26,1006,71,289,50,10,13,276,19,39,19,5,10,42,532,14,9,20,27,27,149,13
214,24,29,20,483,202,338,57,16,729,38,248,25,12,15,88,10,10,10,5,113,120,254,13,11,12,12,11,115,8
215,48,67,63,1062,393,122,200,43,3578,126,625,704,36,25,264,130,108,1827,45,2320,2194,1115,795,94,208,49,128,924,54
216,4,1,1,19,12,5,2298,8,5,21,199,17,19,9,13,10,47,4,28,14,11,1,7,13,391,6,15,2,22
217,2,1,1,12,6,6,688,6,3,4,27,11,8,6,1,4,11,3,3,11,3,1,2,6,63,3,3,5,7
218,26,25,17,148,75,40,28,11,218,13,128,99,67,13,38,72,24,217,13,9,75,316,75,30,39,13,40,278,31
219,42,96,71,1411,356,233,224,27,1410,96,763,38,15,18,403,26,14,33,5,140,153,292,31,10,9,14,28,196,11
220,24,18,13,145,59,52,39,10,160,21,59,43,12,11,72,32,29,55,10,128,261,264,10,10,16,15,25,122,9
221,14,5,5,11,47,21,11,3,36,8,62,11,5,5,15,5,9,10,3,295,46,68,10,2,5,7,6,37,10
222,23,23,22,81,49,116,32,8,133,10,90,98,19,9,92,58,23,176,9,154,384,262,28,20,34,7,27,87,18
223,7,45,29,161,105,38,66,17,521,27,169,26,6,8,143,8,14,9,2,3,26,415,12,8,6,11,12,359,3
224,4,1,1,40,26,16,5027,5,14,58,509,55,159,23,16,22,165,3,82,142,39,1,5,14,190,27,14,8,63
