Field	Description	unit	type	lower_limit	upper_limit
PCT_RIBOSOMAL_BASES	Fraction of PF_ALIGNED_BASES that mapped to regions encoding ribosomal RNA, RIBOSOMAL_BASES/PF_ALIGNED_BASES	percent	float	0	0.3
PCT_TARGET_BASES_10X	The fraction of all target bases achieving 10X or greater coverage depth.	percent	float	none	none
PCT_TARGET_BASES_1X	The fraction of all target bases achieving 1X or greater coverage.	percent	float	0.3	none
PCT_TARGET_BASES_20X	The fraction of all target bases achieving 20X or greater coverage depth.	percent	float	none	none
PCT_TARGET_BASES_2X	The fraction of all target bases achieving 2X or greater coverage depth.	percent	float	none	none
PCT_TARGET_BASES_30X	The fraction of all target bases achieving 30X or greater coverage depth.	percent	float	none	none
PCT_USABLE_BASES	The fraction of bases mapping to mRNA divided by the total number of PF bases, (CODING_BASES + UTR_BASES)/PF_BASES.	percent	float	0.7	1
PCT_UTR_BASES	Fraction of PF_ALIGNED_BASES that mapped to untranslated regions (UTR) of genes, UTR_BASES/PF_ALIGNED_BASES	percent	float	0	0.5
PF_ALIGNED_BASES	The total number of aligned PF bases. Non-primary alignments are not counted. Bases in aligned reads that do not correspond to reference (e.g. soft clips, insertions) are not counted.	base	int	none	none
PF_BASES	The total number of bases within the PF_READS of the SAM or BAM file to be examined	base	int	none	none
PF_BASES_ALIGNED	The number of bases from PF_READS that align to the reference genome with mapping score > 0	base	int	none	none
PF_HQ_ALIGNED_BASES	The number of bases aligned to the reference sequence in reads that were mapped at high quality. Will usually approximate PF_HQ_ALIGNED_READS * READ_LENGTH but may differ when either mixed read lengths are present or many reads are aligned with gaps.	base	int	none	none
PF_HQ_ALIGNED_Q20_BASES	The subset of PF_HQ_ALIGNED_BASES where the base call quality was Q20 or higher.	base	int	none	none
PF_HQ_ALIGNED_READS	The number of PF reads that were aligned to the reference sequence with a mapping quality of Q20 or higher signifying that the aligner estimates a 1/100 (or smaller) chance that the alignment is wrong.	read	int	none	none
PF_HQ_ERROR_RATE	The fraction of bases that mismatch the reference in PF HQ aligned reads.	percent	float	none	none
PF_HQ_MEDIAN_MISMATCHES	The median number of mismatches versus the reference sequence in reads that were aligned to the reference at high quality (i.e. PF_HQ_ALIGNED READS).	mismatch	int	none	none
PF_INDEL_RATE	The number of insertion and deletion events per 100 aligned bases. Uses the number of events as the numerator, not the number of inserted or deleted bases.	percent	float	none	none
PF_MISMATCH_RATE	The rate of bases mismatching the reference for all bases aligned to the reference sequence.	percent	float	none	none
PF_READS	The total number of reads passing filter (PF), where the filter(s) can be platform/vendor quality controls	read	int	none	none
PF_READS_ALIGNED	The number of PF reads that were aligned to the reference sequence. This includes reads that aligned with low quality (i.e. their alignments are ambiguous).	read	int	none	none
PF_READS_IMPROPER_PAIRS	The number of (primary) aligned reads that are **not** "properly" aligned in pairs (as per SAM flag 0x2).	read	int	none	none
PF_UNIQUE_READS	The number of PF_READS that were not marked as sample or optical duplicates.	read	int	none	none
PF_UQ_BASES_ALIGNED	The number of bases from PF_UNIQUE_READS that align to the reference genome and have a mapping score > 0	base	int	none	none
PF_UQ_READS_ALIGNED	The total number of PF_UNIQUE_READS that align to the reference genome with mapping scores > 0	read	int	none	none
READS_ALIGNED_IN_PAIRS	The number of aligned reads whose mate pair was also aligned to the reference.	read	int	none	none
RIBOSOMAL_BASES	Number of bases in primary alignments that align to ribosomal sequence.	base	int	none	none
STRAND_BALANCE	The number of PF reads aligned to the positive strand of the genome divided by the number of PF reads aligned to the genome.	percent	float	0.45	0.55
UTR_BASES	Number of bases in primary alignments that align to a UTR base for some gene, and not a coding base.	base	int	none	none
ZERO_CVG_TARGETS_PCT	The fraction of targets that did not reach coverage=1 over any base.	percent	float	0	0.6
